state,vcrimerate,blackpct,urbanpct,unemployed,police,prisonpop
AK,7.6076794,4.3099999,40.41,7.5999999,275.95993,330.61224
AL,7.8041558,25.209999,68.660004,7.5000005,296.84738,409.32819
AR,5.9327559,15.780001,40.52,6.1999998,214.85147,342.31412
AZ,7.1498985,3.0599999,80.169998,6.1999998,341.99695,416.10126
CA,10.777642,7.3099999,95.82,9.1999998,274.74289,341.37241
CO,5.6727424,4.1500001,81.800003,5.1999998,316.26471,259.65369
CT,4.5617943,8.6899996,92.309998,6.1999998,270.43027,268.19153
DC,29.217993,64.449997,100,8.5,903.46021,1286.8375
DE,6.8585715,17.139999,66.089996,5.3000002,374.57141,391.46167
FL,12.060457,13.54,90.949997,7,411.78452,358.11761
GA,7.2313142,27.059999,65.809998,5.8000002,368.28107,366.86844
HI,2.6117747,2.71,74.449997,4.1999998,288.73721,192.21454
IA,3.2547975,1.79,44.599998,4,216.52454,161.18445
ID,2.8180163,.30000001,21.030001,6.0999999,244.13101,229.64354
IL,9.597333,14.829999,83,7.4000001,333.91467,272.45328
IN,4.8907752,7.8600006,68.739998,5.3000002,234.62279,243.74338
KS,4.964046,5.9499998,55.299995,5,319.71552,239.68192
KY,4.6265507,7.1000004,46.709999,6.1999998,235.89337,276.07886
LA,10.616997,31.219997,69.709999,7.4000001,370.22119,488.33838
MA,8.0494013,5.3299999,90.160004,6.8999996,281.35394,177.24011
MD,9.9778452,25.560001,92.739998,6.1999998,330.83585,382.50967
ME,1.2574657,.43000001,35.869999,7.9000006,213.15578,120.71197
MI,7.9152775,14.200001,79.889999,7,262.76642,414.59613
MN,3.2716405,2.47,68.720001,5.0999999,207.01793,85.541626
MO,7.444211,10.76,66.379997,6.4000001,271.03552,311.82816
MS,4.3386302,35.720001,30.610001,6.3000002,205.06999,333.38434
MT,1.7747319,.33000001,23.870001,6,245.64958,188.32117
NC,6.7930884,21.879999,57.360001,4.9000001,301.54068,292.05676
ND,.82204723,.66000003,41.619999,4.3000002,210.23622,67.507889
NE,3.3914125,3.7500002,49.52,2.5999999,247.79091,152.09244
NH,1.3777778,.66000003,56.279999,6.5999999,221.51111,159.37219
NJ,6.2685618,13.64,100,7.4000001,432.27567,289.68033
NM,9.2970295,2.0599999,51.040001,7.5000005,290.90347,199.36789
NV,8.7523394,6.6599994,83.169998,7.1999998,341.18069,452.76947
NY,10.735396,16.559999,91.309998,7.6999998,360.44952,340.91336
OH,5.0414753,10.78,79.029999,6.5,223.9203,348.2261
OK,6.3484988,7.5799999,60.119999,6,275.95172,477.12952
OR,5.0310025,1.66,68.949997,7.1999998,203.16623,221.50069
PA,4.174552,9.3199997,84.860001,7,208.52423,208.13672
RI,4.0170002,4.1999998,92.440002,7.6999998,273.89999,170.82916
SC,10.233599,29.620001,60.84,7.5000005,267.96597,488.81488
SD,2.0839162,.56,33.610001,3.5,161.11888,210.02824
TN,7.6577759,16.059999,68.57,5.6999998,277.38773,235.80101
TX,7.6212635,11.87,82.230003,7,348.44989,341.94989
UT,3.010215,.73000002,77.589996,3.9000001,227.52689,148.37106
VA,3.7220767,18.77,73.25,5,280.68094,328.26086
VT,1.1423612,.33000001,23.67,5.4000001,198.61111,151.48862
WA,5.1455755,3.25,82.089996,7.5000005,221.50333,193.64185
WI,2.6441047,5.3299999,67.580002,4.6999998,284.25964,160.06409
WV,2.0840659,3.04,36.279999,10.8,200.32967,113.59867
WY,2.8617022,.82999998,33.889999,5.4000001,357.02127,228.60214
